,Name,Ticker
0,Activision Blizzard,ATVI
1,Adobe Inc.,ADBE
2,ADP,ADP
3,Airbnb,ABNB
4,Align Technology,ALGN
5,Alphabet Inc. (Class A),GOOGL
6,Alphabet Inc. (Class C),GOOG
7,Amazon,AMZN
8,Advanced Micro Devices Inc.,AMD
9,American Electric Power,AEP
10,Amgen,AMGN
11,Analog Devices,ADI
12,Ansys,ANSS
13,Apple Inc.,AAPL
14,Applied Materials,AMAT
15,ASML Holding,ASML
16,AstraZeneca,AZN
17,Atlassian,TEAM
18,Autodesk,ADSK
19,Baker Hughes,BKR
20,Biogen,BIIB
21,Booking Holdings,BKNG
22,Broadcom Inc.,AVGO
23,Cadence Design Systems,CDNS
24,Charter Communications,CHTR
25,Cintas,CTAS
26,Cisco,CSCO
27,Cognizant,CTSH
28,Comcast,CMCSA
29,Constellation Energy,CEG
30,Copart,CPRT
31,CoStar Group,CSGP
32,Costco,COST
33,CrowdStrike,CRWD
34,CSX Corporation,CSX
35,Datadog,DDOG
36,DexCom,DXCM
37,Diamondback Energy,FANG
38,Dollar Tree,DLTR
39,eBay,EBAY
40,Electronic Arts,EA
41,Enphase Energy,ENPH
42,Exelon,EXC
43,Fastenal,FAST
44,Fiserv,FISV
45,Fortinet,FTNT
46,Gilead Sciences,GILD
47,GlobalFoundries,GFS
48,Honeywell,HON
49,Idexx Laboratories,IDXX
50,"Illumina, Inc.",ILMN
51,Intel,INTC
52,Intuit,INTU
53,Intuitive Surgical,ISRG
54,JD.com,JD
55,Keurig Dr Pepper,KDP
56,KLA Corporation,KLAC
57,Kraft Heinz,KHC
58,Lam Research,LRCX
59,Lucid Motors,LCID
60,Lululemon,LULU
61,Marriott International,MAR
62,Marvell Technology,MRVL
63,MercadoLibre,MELI
64,Meta Platforms,META
65,Microchip Technology,MCHP
66,Micron Technology,MU
67,Microsoft,MSFT
68,Moderna,MRNA
69,MondelÄ“z International,MDLZ
70,Monster Beverage,MNST
71,Netflix,NFLX
72,Nvidia,NVDA
73,NXP,NXPI
74,O'Reilly Automotive,ORLY
75,Old Dominion Freight Line,ODFL
76,Paccar,PCAR
77,Palo Alto Networks,PANW
78,Paychex,PAYX
79,PayPal,PYPL
80,PDD Holdings,PDD
81,PepsiCo,PEP
82,Qualcomm,QCOM
83,Regeneron,REGN
84,Rivian,RIVN
85,Ross Stores,ROST
86,Seagen,SGEN
87,Sirius XM,SIRI
88,Starbucks,SBUX
89,Synopsys,SNPS
90,T-Mobile US,TMUS
91,"Tesla, Inc.",TSLA
92,Texas Instruments,TXN
93,Verisk,VRSK
94,Vertex Pharmaceuticals,VRTX
95,Walgreens Boots Alliance,WBA
96,Warner Bros. Discovery,WBD
97,"Workday, Inc.",WDAY
98,Xcel Energy,XEL
99,Zoom Video Communications,ZM
100,Zscaler,ZS
